Planting_ID,Block,Comps,plant_present,present_with_seeds,seeds,glumes,undeveloped,Date_counted,Notes
668,7,y,n,,,,,9/9/2020,
669,7,y,n,,,,,9/9/2020,
670,7,y,y,y,7,7,0,9/9/2020,
671,7,y,n,,,,,9/9/2020,
672,7,y,n,,,,,9/9/2020,
673,7,y,n,,,,,9/9/2020,
674,7,y,n,,,,,9/9/2020,
675,7,y,n,,,,,9/9/2020,
676,7,y,n,,,,,9/9/2020,
677,7,y,y,y,6,5,2,9/9/2020,
678,7,y,y,y,4,2,0,9/9/2020,"still green, 3 seeds in top glume"
679,7,y,y,y,4,4,0,9/9/2020,
680,7,y,y,n,0,2,3,9/9/2020,still green
681,7,y,n,,,,,9/9/2020,
682,7,y,n,,,,,9/9/2020,
683,7,y,n,,,,,9/9/2020,
684,7,y,n,,,,,9/9/2020,
685,7,y,n,,,,,9/9/2020,
686,7,y,n,,,,,9/9/2020,
687,7,y,n,,,,,9/9/2020,
688,7,y,n,,,,,9/9/2020,
689,7,y,y,n,0,3,0,9/9/2020,
690,7,y,n,,,,,9/9/2020,
139,10,n,n,,,,,9/3/2020,
140,10,n,n,,,,,9/3/2020,
141,10,n,y,y,28,14,0,9/3/2020,
142,10,n,n,,,,,9/3/2020,
143,10,n,y,y,59,45,0,9/3/2020,
144,10,n,y,y,53,38,0,9/3/2020,
145,10,n,x,,,,,9/3/2020,tube missing
146,10,n,n,,,,,9/3/2020,
147,10,n,y,y,29,18,0,9/3/2020,
148,10,n,n,,,,,9/3/2020,
149,10,n,y,y,35,29,0,9/3/2020,
150,10,n,y,y,16,8,0,9/3/2020,
151,10,n,n,,,,,9/3/2020,
152,10,n,n,,,,,9/3/2020,
153,10,n,x,,,,,9/3/2020,tube missing
154,10,n,n,,,,,9/3/2020,
155,10,n,n,,,,,9/3/2020,
156,10,n,y,y,25,16,0,9/3/2020,
157,10,n,n,,,,,9/3/2020,
158,10,n,n,,,,,9/3/2020,
159,10,n,n,,,,,9/3/2020,
